State,PI,Institution,Website
Alabama,Hui-Ying Lim,University of Alabama at Birmingham,https://scholars.uab.edu/19224-huiying-lim/about
Arizona,Rob Harris,Arizona State University,https://search.asu.edu/profile/3196069
Arizona,Keith Maggert,University of Arizona,https://mcb.arizona.edu/profile/keith-maggert
Arkansas,Adam Pare,University of Arkansas,https://biology.uark.edu/directory/?uid=pare
Florida,Guangxia Miao,Florida State University,https://www.bio.fsu.edu/faculty.php?faculty-id=gm23t
Florida,Chun Nin Wong,University of Florida,https://microbiota.wixsite.com/adam-wong
Florida,Rui Zhou,Johns Hopkins All Children's Hospital,https://www.hopkinsmedicine.org/all-childrens-hospital/academics/research/institute-for-fundamental-biomedical-research/rui-zhou-ph-d
Georgia,Dongyu Jia,Kennesaw State University,https://facultyweb.kennesaw.edu/djia/index.php
Kansas,Raj Logan,Wichita State University,https://www.rajlogan.com/
Kansas,Erika Geisbrecht,Kansas State University,https://www.k-state.edu/bmb/about/directory/egeisbrecht/lab/erikasbio/
Kansas,Jocelyn McDonald,Kansas State University,https://mcdonaldlab.org/
Louisiana,SeYeon Chung,Louisiana State University,https://faculty.lsu.edu/seyeonchunglab/index.php
Louisiana,Patrick DiMario,Louisiana State University,https://www.lsu.edu/science/biosci/faculty-and-staff/faculty-pages/dimario.php
Louisiana,Craig Hart,Louisiana State University,https://www.lsu.edu/science/biosci/faculty-and-staff/faculty-pages/hart.php
Louisiana,Alyssa Johnson,Louisiana State University,https://faculty.lsu.edu/johnsona/index.php
Louisiana,Alexander Murashov,LSU Vet School,https://www.lsu.edu/vetmed/faculty/murashov.php
Louisiana,Marisa Connell,LSU Shreveport,https://www.lsus.edu/marisa-connell-phd
Louisiana,Yoichiro Tamori,University of Louisiana at Lafayette,https://www.morphomeostasis.com/
Louisiana,Charles Nichols,LSU Health New Orleans,
Louisiana,Xiaolin Tian,LSU Health New Orleans,https://www.medschool.lsuhsc.edu/neuroscience/faculty_detail.aspx?name=tian_Xiaolin
Louisiana,Chunlai Wu,LSU Health New Orleans,https://www.medschool.lsuhsc.edu/neuroscience/faculty_detail.aspx?name=wu_chunlai
Louisiana,Joel Atallah,University of New Orleans,https://www.uno.edu/profile/faculty/joel_atallah
Louisiana,Wu-Min Deng,Tulane University,https://denglab.tulane.edu/
Louisiana,Jun-Yuan Ji,Tulane University,https://medicine.tulane.edu/departments/biochemistry-molecular-biology-tulane-cancer-center-ji-lab-tips-mentor/faculty/jun-yuan
Louisiana,Gregory Macleod,Tulane University,https://themacleodlab.com/
Louisiana,Larry Reiter,Tulane University,https://medicine.tulane.edu/departments/physiology/faculty/lawrence-t-reiter-phd
Missouri,Dan Bergstralh,University of Missouri,https://www.bergstralhlab.com/
Missouri,Tara Finegan,University of Missouri,https://tara-finegan.squarespace.com/
